model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds,precision_collapse_vs_050,precision_ratio_vs_050,precision_check_message,is_recommended_winner
Logistic Regression,0.49,0.7099992933275905,0.6329333000580667,0.6346255655364047,0.36254206169675474,0.6903682313915471,0.47542041061164453,0.2635023276895825,163911,101730,25949,57857,logistic_regression,2513.501235799995,False,0.9858881086586387,No precision collapse detected relative to the 0.50 baseline.,False
HistGradientBoosting,0.22,0.7191136735615594,0.49343874205445426,0.6240488543327029,0.3601314915112703,0.7307352695511061,0.48248015599456384,0.27432464183022326,156832,108809,22566,61240,hist_gradient_boosting,27.134213800003636,False,0.6697424092488318,No precision collapse detected relative to the 0.50 baseline.,True
