model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds
HistGradientBoosting,0.3,0.7191136735615594,0.49343874205445426,0.7022581392886474,0.4076730076182656,0.5331718492709353,0.4620523134671761,0.2657454887393457,200719,64922,39123,44683,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.31,0.7191136735615594,0.49343874205445426,0.7090631769624578,0.41323799438458775,0.507541226165191,0.4555604941709463,0.2624395550735632,205245,60396,41271,42535,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.32,0.7191136735615594,0.49343874205445426,0.7171445169081434,0.4210432353528034,0.4784025010142472,0.44789391662803235,0.25975363238591886,210511,55130,43713,40093,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.33,0.7191136735615594,0.49343874205445426,0.724974030396598,0.4294319446516057,0.44660286852969955,0.43784912524932296,0.25598324955386603,215912,49729,46378,37428,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.34,0.7191136735615594,0.49343874205445426,0.7310665136630161,0.43652021967049426,0.4173209555401761,0.4267047326232568,0.25125883207937594,220495,45146,48832,34974,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.35,0.7191136735615594,0.49343874205445426,0.7362318177005382,0.44334448341707183,0.3906283559649667,0.41532030422399413,0.2467217423819176,224537,41104,51069,32737,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.36,0.7191136735615594,0.49343874205445426,0.7411538802736896,0.4509221931806435,0.36436531990549603,0.403049001814882,0.2423927769257959,228458,37183,53270,30536,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.37,0.7191136735615594,0.49343874205445426,0.7445592607748814,0.4565891842871462,0.34243371596305755,0.3913568209247302,0.23774638294109762,231486,34155,55108,28698,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.38,0.7191136735615594,0.49343874205445426,0.7472807035115483,0.46129531008417796,0.320406653461566,0.3781545741324921,0.23189316989692585,234283,31358,56954,26852,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.39,0.7191136735615594,0.49343874205445426,0.75048576751267,0.46846360181804636,0.3000859127031478,0.36583024219943266,0.22813765023432514,237106,28535,58657,25149,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.4,0.7191136735615594,0.49343874205445426,0.7529153204920918,0.4742671670554823,0.27896570651266017,0.3512971352581874,0.2225171151042411,239725,25916,60427,23379,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.41,0.7191136735615594,0.49343874205445426,0.7558199097431084,0.4826239839254726,0.25221344533804263,0.33129574771555304,0.21525241555999977,242982,22659,62669,21137,hist_gradient_boosting,27.134213800003636
