model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.3,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.31,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.32,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.33,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.34,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.35,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.36,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.37,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.38,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.39,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
