model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.05,0.7158596140703415,0.6197408867761806,0.2414414775345045,0.24021302331447308,1.0,0.38737381207706245,0.022603461141266747,565,265076,0,83806,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.06,0.7158596140703415,0.6197408867761806,0.25896058629777907,0.2444094865074686,0.9992482638474572,0.3927539630428665,0.07614954372717475,6750,258891,63,83743,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.07,0.7158596140703415,0.6197408867761806,0.2610753562056621,0.24492285191956123,0.9991289406486409,0.3934072697630385,0.08023109093938043,7499,258142,73,83733,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.08,0.7158596140703415,0.6197408867761806,0.2636165140922658,0.24553530838561327,0.9989260912106531,0.39418117096989114,0.0847372743313658,8404,257237,90,83716,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.09,0.7158596140703415,0.6197408867761806,0.2679862754580809,0.24659661488413756,0.9985800539340859,0.3955205187464258,0.09203191232342624,9960,255681,119,83687,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.1,0.7158596140703415,0.6197408867761806,0.2722587402381477,0.24762502479329057,0.998090828818939,0.39680359773149365,0.09835585204147247,11494,254147,160,83646,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.11,0.7158596140703415,0.6197408867761806,0.2781909703045097,0.2490823063904846,0.9975180774646206,0.3986267076747014,0.10683737642892316,13615,252026,208,83598,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.12,0.7158596140703415,0.6197408867761806,0.28532223770700565,0.2508273919284989,0.9965754241939718,0.40078218724506937,0.1158554452681304,16186,249455,287,83519,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.13,0.7158596140703415,0.6197408867761806,0.2920585954379348,0.25244854721549637,0.9952628690069923,0.4027416309758912,0.1231393409998106,18650,246991,397,83409,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.14,0.7158596140703415,0.6197408867761806,0.3008095648267119,0.2545474562379968,0.9931985776674701,0.4052365859951996,0.13159535371376174,21881,243760,570,83236,2.3332529999897815,300000,349447
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,full_test,0.15,0.7158596140703415,0.6197408867761806,0.3087621298794953,0.2565385553288493,0.991683173042503,0.4076278481198914,0.13956881297423138,24787,240854,697,83109,2.3332529999897815,300000,349447
