model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds,run_seconds
HistGradientBoosting,0.05,0.7189325495423485,0.4934605445863295,0.3268449865072529,0.26136098591105367,0.9894518292246378,0.4134976912106434,0.15838352712344145,31293,234348,884,82922,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.06,0.7189325495423485,0.4934605445863295,0.3469710714357256,0.2664790645771675,0.9830561057680834,0.4192981161459752,0.17294388559841425,38862,226779,1420,82386,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.07,0.7189325495423485,0.4934605445863295,0.3690488114077385,0.27234447975588466,0.9755148796028924,0.4258109543948832,0.18801315880651553,47209,218432,2052,81754,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.08,0.7189325495423485,0.4934605445863295,0.3893637661791345,0.2778922397095676,0.9672577142448034,0.43174464526815604,0.20038663299606607,55000,210641,2744,81062,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.09,0.7189325495423485,0.4934605445863295,0.4079760306999345,0.2831208743184806,0.9585590530510942,0.43713048943400434,0.21071958048429407,62233,203408,3473,80333,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.1,0.7189325495423485,0.4934605445863295,0.4257412425918666,0.288113221914808,0.9480824761950218,0.4419285672570728,0.2188136296350454,69319,196322,4351,79455,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.11,0.7189325495423485,0.4934605445863295,0.4452721013487024,0.29390877014241085,0.9362814118320884,0.4473801242944296,0.2279001790503379,77133,188508,5340,78466,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.12,0.7189325495423485,0.4934605445863295,0.4628427200691378,0.29915022268959546,0.9232871154809918,0.4518866326774941,0.23451904584721667,84362,181279,6429,77377,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.13,0.7189325495423485,0.4934605445863295,0.4788766250676068,0.3040548891094872,0.910042240412381,0.45581656650898433,0.2399158169991012,91075,174566,7539,76267,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.14,0.7189325495423485,0.4934605445863295,0.497053916616826,0.30985321305820607,0.893921676252297,0.4601931907182456,0.2457748653059757,98778,166863,8890,74916,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.15,0.7189325495423485,0.4934605445863295,0.514306890601436,0.3155553647331587,0.8769777820203803,0.46411295924424406,0.25074396358252093,106227,159414,10310,73496,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.16,0.7189325495423485,0.4934605445863295,0.5306813336500242,0.32140248356464574,0.8610362026585209,0.46808207004365565,0.25612795538933725,113285,152356,11646,72160,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.17,0.7189325495423485,0.4934605445863295,0.5483120473204807,0.32770778159951225,0.8401427105457843,0.47150094254651626,0.2600516748188482,121197,144444,13397,70409,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.18,0.7189325495423485,0.4934605445863295,0.5663577023125109,0.33466617844501406,0.8179366632460683,0.47498709424836555,0.26434378855423,129364,136277,15258,68548,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.19,0.7189325495423485,0.4934605445863295,0.5814558430892238,0.3407712978874209,0.797425005369544,0.4774915421357045,0.2673727088618639,136359,129282,16977,66829,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.2,0.7189325495423485,0.4934605445863295,0.5963221890587128,0.347230522945571,0.776447987017636,0.479864014807932,0.27051327572716255,143312,122329,18735,65071,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.21,0.7189325495423485,0.4934605445863295,0.609422888163298,0.35311830835117775,0.7556022241844259,0.48130610259411555,0.2724265926679752,149637,116004,20482,63324,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.22,0.7189325495423485,0.4934605445863295,0.6228498169965688,0.35953964314147896,0.7328592224900365,0.48240977104033306,0.27418933118861055,156235,109406,22388,61418,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.23,0.7189325495423485,0.4934605445863295,0.6336125363789072,0.36462089442590834,0.7106770398300838,0.48196446706669205,0.2738263073475455,161855,103786,24247,59559,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.24,0.7189325495423485,0.4934605445863295,0.643908804482511,0.3699597354961368,0.6896164952390044,0.4815705161588681,0.2740422477453062,167218,98423,26012,57794,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.25,0.7189325495423485,0.4934605445863295,0.6545169939933667,0.37573036430706264,0.6660262988330191,0.4804313958392508,0.273715142094871,172902,92739,27989,55817,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.26,0.7189325495423485,0.4934605445863295,0.66479609211125,0.3816540734007499,0.6412786673985156,0.4785194682622361,0.2728972537899494,178568,87073,30063,53743,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.27,0.7189325495423485,0.4934605445863295,0.6740163744430486,0.3872528460155782,0.6169725317996325,0.47583814177779005,0.27151665981086365,183827,81814,32100,51706,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.28,0.7189325495423485,0.4934605445863295,0.682784513817546,0.39267913267087845,0.5903634584635945,0.4716446935682215,0.2688200455556298,189121,76520,34330,49476,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.29,0.7189325495423485,0.4934605445863295,0.692474109092366,0.3997865094291669,0.5630861752141851,0.46758883097837933,0.26756757573604273,194793,70848,36616,47190,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.3,0.7189325495423485,0.4934605445863295,0.7008416154667232,0.40632680352754086,0.5365844927570819,0.46245847859397976,0.2654853418645773,199938,65703,38837,44969,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.31,0.7189325495423485,0.4934605445863295,0.7084307491550936,0.41272829066759337,0.5101902011789132,0.456313166348278,0.2628668862603782,204802,60839,41049,42757,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.32,0.7189325495423485,0.4934605445863295,0.7164062075221708,0.4201197029361689,0.479929837959096,0.44803751747492243,0.2593887657313268,210125,55516,43585,40221,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.33,0.7189325495423485,0.4934605445863295,0.7246878639679265,0.42904226222491787,0.4473546046822423,0.43800711494313305,0.2558984094506222,215749,49892,46315,37491,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.34,0.7189325495423485,0.4934605445863295,0.7309491854272608,0.4364665629860031,0.4185977137675107,0.42734542973912937,0.25170889619578446,220347,45294,48725,35081,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.35,0.7189325495423485,0.4934605445863295,0.736274742664839,0.4435553633217993,0.3915710092356156,0.4159452436783066,0.24728057816503043,224473,41168,50990,32816,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.36,0.7189325495423485,0.4934605445863295,0.7411224019665357,0.4507413216536948,0.3634823282342553,0.4024361243955928,0.24188118455559288,228521,37120,53344,30462,hist_gradient_boosting,32.48742059999495,34.939936000009766
