model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,is_overall_winner,precision_collapse_vs_050,precision_ratio_vs_050,precision_check_message
Gradient Boosting,0.22,0.7134517299767646,0.4969845311191343,0.62124,0.3571692915004729,0.7243766157951798,0.4784356926466538,0.2674523657728415,44752,31266,6610,17372,True,False,0.6726393629124006,No precision collapse detected relative to threshold 0.50.
Logistic Regression,0.48,0.7062384128155927,0.6341796878072375,0.62529,0.3567651368742965,0.7004836961054124,0.4727518327259424,0.2583750452375317,45730,30288,7183,16799,False,False,,No precision collapse detected relative to threshold 0.50.
