model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
Gradient Boosting,0.5,0.7134517299767646,0.4969845311191343,0.76301,0.5309967141292442,0.10107580685514135,0.16982520054646724,0.14914966211096445,73877,2141,21558,2424
Gradient Boosting,0.51,0.7134517299767646,0.4969845311191343,0.76275,0.5347391186807245,0.08247852556083729,0.14291391206965065,0.13537197829309122,74297,1721,22004,1978
Gradient Boosting,0.52,0.7134517299767646,0.4969845311191343,0.76228,0.5351640991292699,0.06663330831456926,0.11851082764758232,0.12135427366235853,74630,1388,22384,1598
Gradient Boosting,0.53,0.7134517299767646,0.4969845311191343,0.76184,0.5385687732342007,0.048327912601117504,0.08869671692048672,0.103764875308463,75025,993,22823,1159
Gradient Boosting,0.54,0.7134517299767646,0.4969845311191343,0.76214,0.5655957161981259,0.0352347594028855,0.06633694457528655,0.09396405402529563,75369,649,23137,845
Gradient Boosting,0.55,0.7134517299767646,0.4969845311191343,0.7617,0.576,0.0240180135101326,0.04611320150508366,0.07913222124603096,75594,424,23406,576
Gradient Boosting,0.56,0.7134517299767646,0.4969845311191343,0.76134,0.5783783783783784,0.01784671837211242,0.03462503033735135,0.06846385846081789,75706,312,23554,428
Gradient Boosting,0.57,0.7134517299767646,0.4969845311191343,0.76083,0.6025236593059937,0.007964306563255774,0.01572081155603111,0.04790381477508413,75892,126,23791,191
Gradient Boosting,0.58,0.7134517299767646,0.4969845311191343,0.76025,0.5231788079470199,0.003294137269618881,0.0065470517548584925,0.02580788481011452,75946,72,23903,79
Gradient Boosting,0.59,0.7134517299767646,0.4969845311191343,0.76024,0.5428571428571428,0.0015845217246268034,0.003159820389156827,0.01878434343983305,75986,32,23944,38
Gradient Boosting,0.6,0.7134517299767646,0.4969845311191343,0.76021,0.5428571428571428,0.0007922608623134017,0.0015822125994087522,0.013280211165126222,76002,16,23963,19
Gradient Boosting,0.61,0.7134517299767646,0.4969845311191343,0.76021,0.5882352941176471,0.0004169794012175799,0.0008333680570023751,0.010640393042065136,76011,7,23972,10
Gradient Boosting,0.62,0.7134517299767646,0.4969845311191343,0.76022,0.6428571428571429,0.0003752814610958219,0.0007501250208368062,0.011169624494091365,76013,5,23973,9
Gradient Boosting,0.63,0.7134517299767646,0.4969845311191343,0.76016,0.3333333333333333,8.339588024351597e-05,0.00016675004168751042,0.0016965289438011708,76014,4,23980,2
Gradient Boosting,0.64,0.7134517299767646,0.4969845311191343,0.76018,0.5,8.339588024351597e-05,0.00016676394563495373,0.003853999660813658,76016,2,23980,2
Gradient Boosting,0.65,0.7134517299767646,0.4969845311191343,0.76019,0.6666666666666666,8.339588024351597e-05,0.00016677089847821555,0.005475680721622144,76017,1,23980,2
Gradient Boosting,0.66,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
